route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
3877,orgp,С-3/1,"СТ. МЕТРО ""ПРИМОРСКАЯ"" - СТ. МЕТРО ""ОБУХОВО""",3,bus,0,1,0
3996,orgp,А-3,"А. С. ПР.МАРШАЛА ЖУКОВА-СТ.М ""ПР.ВЕТЕРАНОВ""",3,bus,0,1,0
4275,orgp,392А,"Г.КОЛПИНО, ЗАВОДСКОЙ ПР. - СОВХОЗ ИМ.ТЕЛЬМАНА",3,bus,0,1,0
4896,orgp,356ш,УЛ. ШАХМАТОВА - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ,3,bus,0,1,0
4938,orgp,31А,Костюшко -Александра Невского,3,bus,0,1,0
4976,orgp,1ЧМА, ,3,bus,0,1,0
4979,orgp,S5,"Стадион - станция метро ""Спортивная""",3,bus,0,1,0
4980,orgp,1ЧМБ,.,3,bus,0,1,0
4999,orgp,000Д,ст.метро ул. Дыбенко - Кудрово,3,bus,0,1,0
5000,orgp,1Чм,ВЫБОРГСКАЯ-СПОРТИВНАЯ,3,bus,0,1,0
5023,orgp,1СП,АС Звездная-Ст. М. Ладожская,3,bus,0,1,0
5041,orgp,2СП,"АС ""Малая балканская""-СТ м.Купчино",3,bus,0,1,0
5061,orgp,3СП,"АС ""УЛ.Костюшко"" - СТ.метро ""Бухарестская""",3,bus,0,1,0
5062,orgp,СП02,"АС ""ПР. КУЛЬТУРЫ"" - СТ. М. УДЕЛЬНАЯ",3,bus,1,1,0
5142,orgp,СП005,"УЛ. СТАСОВОЙ - СТ. М. ""БУХАРЕСТСКАЯ""",3,bus,0,1,0
5182,orgp,к-446,ж.-д. станция Красное Село - ж.-д. станция Можайская,3,bus,0,0,0
5201,orgp,К-01,Станция метро «Проспект Просвещения»-ул. 1-го Мая у Успенской дороги,3,bus,0,1,0
2688,orgp,К-10А,"пос. Бугры, Шоссейная ул., д. 28 - станция метро Политехническая ( Политехническая ул., д. 26)",3,bus,0,0,0
2702,orgp,К-70,"станция метро ""Озерки"" - на пересечении пр. Луначарского и Светлановского пр.",3,bus,0,1,0
2780,orgp,К-39,"станция метро ""Московская""- станция метро ""Московская""",3,bus,1,0,0
2794,orgp,К-345,"Станция метро ""Купчино"" - Станция метро ""Московские ворота"", Московский пр., д. 103, лит. Б",3,bus,0,1,0
2762,orgp,К-291,"г. Колпино, Октябрьская ул. уг. ул. Ижорского Батальона- г. Пушкин, вокзал,шоссе Подбельского",3,bus,0,1,0
5202,orgp,К-305а,станция метро Старая Деревня» -Приозёрная ул.,3,bus,0,1,0
5221,orgp,320,"Зеленогорск, вокзал - Зеленогорск, вокзал",3,bus,1,1,0
5241,orgp,К-33,"Станция метро ""Московская"", северный проезд ул. Типанова - ""Аутлет Вилладж Пулково""",3,bus,0,1,0
5261,orgp,8Б,"ст. метро ""Ломоносовская""-ст. метро  ""Елизаровская""",3,bus,0,1,0
5301,orgp,359А,"г. ПЕТРОДВОРЕЦ,УНИВЕРСИТЕТ - УЛ. ШАХМАТОВА",3,bus,0,1,0
446,orgp,100,"НАЛИЧНАЯ УЛ. - СТАНЦИЯ МЕТРО ""АДМИРАЛТЕЙСКАЯ""",3,bus,0,1,0
1849,orgp,483А,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ ""СОСНОВЫЙ БОР""",3,bus,0,0,0
1710,orgp,367,КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ - СОВХОЗ ИМ. ТЕЛЬМАНА,3,bus,0,1,0
1316,orgp,39,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. КОСТЮШКО"" - АЭРОПОРТ ""ПУЛКОВО 1""",3,bus,0,1,0
1503,orgp,25А,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ""-ПР. ДИНАМО-БЕЛООСТРОВСКАЯ УЛ.",3,bus,0,1,0
2703,orgp,К-71,"станция метро ""Старая Деревня"" - Глухарская ул., д.4",3,bus,0,1,0
2710,orgp,К-278,"ст. метро ""Озерки"" - вещевой рынок ""Гражданский""",3,bus,0,1,0
2752,orgp,К-289,"Инженерная ул., д. 4 - пр. Энергетиков, напротив  д. 56 по пр. Маршала Блюхера",3,bus,0,1,0
1753,orgp,99ш,УЛ. ОРБЕЛИ - ПОС. БУГРЫ,3,bus,0,1,0
2680,orgp,К-65,"станция метро ""Пионерская"" - улица Демьяна Бедного",3,bus,0,1,0
2395,orgp,469А,"САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""УЛИЦА ДЫБЕНКО"" - ПОСЁЛОК ""ПРИЛАДОЖСКИЙ""",3,bus,0,0,0
2695,orgp,К-179,"ст. метро ""Старая деревня""-пр. Королева",3,bus,0,1,0
2773,orgp,К-88А,"станция метро ""Проспект Ветеранов"" - улица Стойкости",3,bus,0,1,0
1244,orgp,374,"Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - Г. ПУШКИН, ШОССЕ ПОДБЕЛЬСКОГО",3,bus,0,1,0
1294,orgp,200,"САНКТ-ПЕТЕРБУРГ, АС ""КИРОВСКИЙ ЗАВОД"" - Г. ЛОМОНОСОВ, ВОКЗАЛ",3,bus,0,1,0
1687,orgp,156,УЛ. КОСТЮШКО - СТ. ПРЕДПОРТОВАЯ,3,bus,0,1,0
1699,orgp,191,"Р. ОККЕРВИЛЬ - СТ. МЕТРО ""ПЕТРОГРАДСКАЯ""",3,bus,0,1,0
4482,orgp,106Х,АС Пискарёвка - Финляндский вокзал,3,bus,0,1,1
4484,orgp,130Х,АС Маршала Жукова - ст.метро Московская,3,bus,0,1,1
